GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Stockton, CA  Metro Area",2,674860,1,1,29.8,38.7,74.6,18,52789,52.789,6.1,49.8,32.2,10.1,64.5,8.9,2.8,15.8,.8,13.1,37.6
"Sumter, SC  Metro Area",2,104495,9,4,20.5,29.1,81.7,18.2,37689,37.689,7.9,52.2,34.2,13.6,50.4,48.2,.4,1.5,-999999999,-999999999,2.8
"Sunbury, PA  Micro Area",1,91311,5,3,22.4,26.7,82.5,12.8,37602,37.602,9.6,50.4,43.1,18.6,97.1,2.2,-999999999,.9,-999999999,.3,2.1
"Syracuse, NY  Metro Area",2,646084,5,3,20.6,28.2,89.3,28.6,49630,49.63,10.4,51.5,38.9,13.7,88.7,8.6,1.2,2.4,-999999999,.7,2.7
"Talladega-Sylacauga, AL  Micro Area",1,80242,8,4,25.2,28.8,75.1,13.5,36526,36.526,5.7,51.4,38.5,14.4,66.5,33.2,.4,-999999999,-999999999,.2,1.5
"Tallahassee, FL  Metro Area",2,360403,9,4,20.9,21.8,87.6,33.9,39973,39.973,6.8,51.6,31,10.4,62.2,34.7,.5,2.3,.2,1.5,4.3
"Tampa-St. Petersburg-Clearwater, FL  Metro Area",2,2747272,9,4,25.3,25.4,86.5,24.6,44061,44.061,6.5,51.3,40.6,17.3,82.9,12.7,.9,3.3,.1,2,15.1
"Terre Haute, IN  Metro Area",2,169495,4,2,22.2,29.3,87.7,18.1,38299,38.299,7,49.5,37.8,14.4,92.9,5.9,.6,1.4,.3,.6,1.6
"Texarkana, TX-Texarkana, AR  Metro Area",2,137486,7,4,17.5,29.3,83.4,16.7,40703,40.703,7,49.7,37.7,13.8,74.7,24.8,2.9,.8,-999999999,1.2,4.9
"The Villages, FL  Micro Area",1,77681,9,4,26.8,20.4,82.2,19.8,46520,46.52,3.5,46.7,51.7,30.1,85.1,12.7,.8,.7,-999999999,1.6,8.1
"Thomasville-Lexington, NC  Micro Area",1,158582,9,4,23.5,29.5,79.9,17.5,43587,43.587,6,51.4,39.8,13.6,85.3,9.8,.6,1.4,-999999999,3.7,6.3
"Toledo, OH  Metro Area",2,672220,4,2,19.9,28.9,87.6,22,43324,43.324,8.6,51.6,37.4,13.3,84.3,13.8,.9,1.6,-999999999,1.3,5.4
"Topeka, KS  Metro Area",2,232222,3,2,20.7,27.9,90.4,25.2,48144,48.144,8,51.4,39.3,14.1,87.9,8.3,3.1,1.4,-999999999,2.7,7.8
"Torrington, CT  Micro Area",1,188728,6,3,26.4,28.4,91.1,31.2,67835,67.835,4.7,51.1,43.7,15.4,95.7,2.1,1.2,2,-999999999,1.3,4
"Traverse City, MI  Micro Area",1,144024,4,2,21.1,24.5,91.8,26.9,48020,48.02,3.5,50.4,43.6,17.1,98.2,.5,2.2,.8,-999999999,.5,2.8
"Trenton-Ewing, NJ  Metro Area",2,366222,5,3,26.8,30.7,86.1,38.1,71650,71.65,13.4,50.7,37.2,12.5,67.8,20.8,.4,8.8,-999999999,4.4,13.8
"Truckee-Grass Valley, CA  Micro Area",1,97751,1,1,22.1,26,95.2,32.2,57884,57.884,3.9,50.7,46.9,18.6,95.1,-999999999,2.5,2.1,1.2,1.7,8
"Tucson, AZ  Metro Area",2,1020200,2,1,23.2,25.6,85.2,28.2,43137,43.137,8.4,51.1,37.2,15.1,81.8,4.3,4.6,3.2,.2,8.5,33.7
"Tullahoma, TN  Micro Area",1,100093,8,4,22.9,27.1,82.8,19.4,39689,39.689,6.5,52.4,40.6,16.6,96.2,3.9,3.2,.4,-999999999,.5,2.1
"Tulsa, OK  Metro Area",2,930246,7,4,20.8,31.7,87.2,25.1,46412,46.412,6.1,50.9,36,12.6,81.7,9.7,11.4,2,.1,2.3,8
"Tupelo, MS  Micro Area",1,134162,8,4,20.3,32.7,78.5,19.2,36316,36.316,6.1,50.4,36.8,12.9,77.3,20.4,.8,.5,-999999999,1.7,2.3
"Tuscaloosa, AL  Metro Area",2,209956,8,4,21.2,26.6,85.5,24,40017,40.017,5.2,51.7,31.8,11.3,62.7,35.6,.5,1.2,-999999999,.4,1.8
"Twin Falls, ID  Micro Area",1,96558,2,1,15.7,34.6,79.8,14.9,39076,39.076,3.5,50.6,34,14.2,95.2,.6,1.3,1,-999999999,3.5,19.1
"Tyler, TX  Metro Area",2,204665,7,4,20.8,27.9,84.4,23.4,46456,46.456,5.7,51.6,36.1,14.7,78.1,18.5,1.4,1.2,-999999999,1.9,16.3
"Ukiah, CA  Micro Area",1,86040,1,1,20,26.3,84,21.4,41867,41.867,4.8,49.8,40.4,15.7,86.9,.8,7.3,2.1,-999999999,6.6,21
"Utica-Rome, NY  Metro Area",2,293280,5,3,19.8,28.3,86.1,18.8,45266,45.266,11.2,50.1,41.1,16.2,91.9,6.2,.6,1.6,-999999999,1.5,3.6
"Valdosta, GA  Metro Area",2,135623,9,4,17.7,34,81.6,21.1,38558,38.558,7.1,50.5,29.5,10,62.8,33.9,.5,1.6,-999999999,2.9,3.8
